,title,url,date,query,keyword,summary
10,Coronavirus India: Plea In Delhi High Court To Waive Traffic Challans Issued To Corona Warriors,https://www.ndtv.com/delhi-news/coronavirus-india-plea-in-delhi-high-court-to-waive-traffic-challans-issued-to-corona-warriors-2244828,2020-06-10,corona,"['violation', 'respect', 'doctors', 'plea', 'warriors', 'delhi', 'association', 'traffic', 'waive', 'court', 'km', 'echallans', 'corona', 'issued', 'petition', 'high', 'challans']","The plea has been filed by an association of doctors.
(Representational)An association of doctors from the city has moved the Delhi High Court seeking a direction to the traffic police to waive the e-challans issued against ""all corona warriors"", including doctors, during first two phases of the COVID-19 lockdown.
The association, which according to the plea is a district branch of Delhi Medical Association, stated that the e-challans were issued based on electronic surveillance alone.
Apart from waiving the traffic challans, the petition also seeks formulation of comprehensive guidelines in respect of display of speed limit signboards.
The petition has also alleged that motorists are often also ""victim of delayed intimation regarding the violation of traffic rules""."
11,महिंद्रा ने कोरोना योद्धाओं के लिए विशेष ख़रीद ऑफ़र पेश किए - carandbike,https://www.carandbike.com/hindi/mahindra-introduces-special-buying-offers-for-covid-19-warriors-news-2244668,2020-06-09,corona,"['महदर', 'वशष', 'यदधओ', 'पश', 'करन', 'क', 'online', 'months', 'लए', 'buy', 'कए', 'planning', 'न', 'purchase', 'lockdown', 'budget', 'vehicle', 'ends', 'car', 'खरद']","In the present Covid-19 situation, are you planning to buy a personal vehicle, considering the need for a private vehicle?
Within 1 month after the lockdown ends Within 3 months after the lockdown ends Within 6 months after the lockdown ends After 6 months of the lockdown endsWhich of the following best describes the new vehicle you plan to purchase?
My budget has reduced My budget remains same My budget has increasedWith many car brands offering option to purchase online, are you willing to avail the option?
My budget has reduced My budget remains same My budget has increasedWith many car brands offering option to purchase online, are you willing to avail the option?
Within 1 month after the lockdown ends Within 3 months after the lockdown ends Within 6 months after the lockdown ends After 6 months of the lockdown ends"
12,Mahindra Introduces Special Buying Offers For Covid-19 Warriors - carandbike,https://www.carandbike.com/news/mahindra-introduces-special-buying-offers-for-covid-19-warriors-2244557,2020-06-09,corona,"['vehicle', 'buy', 'warriors', 'introduces', 'planning', 'ends', 'online', 'purchase', 'covid19', 'car', 'mahindra', 'offers', 'special', 'lockdown', 'months', 'buying', 'budget']","In the present Covid-19 situation, are you planning to buy a personal vehicle, considering the need for a private vehicle?
Within 1 month after the lockdown ends Within 3 months after the lockdown ends Within 6 months after the lockdown ends After 6 months of the lockdown endsWhich of the following best describes the new vehicle you plan to purchase?
My budget has reduced My budget remains same My budget has increasedWith many car brands offering option to purchase online, are you willing to avail the option?
My budget has reduced My budget remains same My budget has increasedWith many car brands offering option to purchase online, are you willing to avail the option?
Within 1 month after the lockdown ends Within 3 months after the lockdown ends Within 6 months after the lockdown ends After 6 months of the lockdown ends"
13,BJP Leader Dilip Ghosh Says West Bengal Chief Minister Mamata Banerjee Should Think Before Making A Statement,https://www.ndtv.com/india-news/bjp-leader-dilip-ghosh-says-west-bengal-chief-minister-mamata-banerjee-should-think-before-making-a-statement-2244247,2020-06-09,corona,"['claimed', 'leader', 'tmc', 'state', 'mamata', 'ghosh', 'making', 'minister', 'alleged', 'banerjee', 'chief', 'saidhe', 'virtual', 'bjp', 'think', 'statement']","""I request the chief minister to think before making any statement,"" Mr Ghosh said.
""Amit Shah's virtual rally on Tuesday has shaken the TMC leadership,"" the state BJP president said.
Mr Ghosh alleged that the TMC government is misusing the police force and punishing able officers, leading to unrest among policemen.
Mr Ghosh alleged that political strife has again started in different parts of West Bengal and factional fights between Trinamool Congress activists are occurring.
Central funds were not being used in the education sector and water supply projects, the BJP MP alleged."
14,"Monica Dogra Shares Her Mother's COVID-19 Story: ""This Is Super Real""",https://www.ndtv.com/entertainment/monica-dogra-shares-her-mothers-covid-19-story-this-is-super-real-2244048,2020-06-07,corona,"['super', 'love', 'real', 'went', 'tested', 'monica', 'mother', 'shares', 'mothers', 'dogra', 'covid19', 'video', 'mom', 'recovery']","Monica Dogra with her mom (courtesy monicadogra)Highlights Monica Dogra flew into the US to be with her motherHer mom had initially tested negative""You don't wanna go through what I went through,"" her mom saidActress-singer Monica Dogra, in a lengthy Instagram video, recently shared the story of her mother's experience of being diagnosed with COVID-19 and her recovery.
Monica Dogra revealed that she flew into the US sometime in the recent past on a repatriation flight to be with her mother, who also joined her in the video.
Monica Dogra said she and her mother decided to make the video because ""When someone you love gets it, it really sucks and when they survive you feel obligated to tell the story.""
Monica Dogra's mom says her condition deteriorated in the next nine days when she decided to get admitted to the hospital, where she tested COVID-19 positive.
Monica Dogra is known for starring in films such as Rock On1!!"
15,"Entertainment News, Bollywood News, Hollywood News, Celebrity News and Gossips, Hindi Movie Reviews",https://www.ndtv.com/entertainment,2020-06-04,corona,"['reviews', 'love', 'leads', 'celebrity', 'dated', 'pavitra', 'cast', 'rose', 'hollywood', 'bollywood', 'sushant', 'rishta', 'interests', 'fame', 'movie', 'gossips', 'hindi', 'entertainment']",Ankita and Sushant rose to fame as the leads on Pavitra Rishta in which they were cast as love interests; they also dated for six years.
16,"""Never Said Corona Express"":  Mamata Banerjee Parries Amit Shah Attack",https://www.ndtv.com/india-news/never-said-corona-express-mamata-banerjee-parries-amit-shah-attack-2244027,2020-06-02,corona,"['express', 'parries', 'centre', 'ms', 'shah', 'mamata', 'amit', 'state', 'trains', 'banerjee', 'corona', 'attack', 'migrant', 'minister', 'migrants']","Bengal Chief Minister Mamata Banerjee has finally ended her silence on the ""Corona Express"" remark which BJP's Amit Shah attributed to her during his virtual rally two days ago.
The coinage, which targeted the special trains for migrant labourers, would bring about her political downfall, he had said.
""I never said Corona Express.
I said the public said,"" said Ms Banerjee, who has been at loggerheads with the Centre over the migrant trains.
Today, during the address live streamed on Facebook today, Ms Banerjee said her reason for initially stopping the migrant trains was ""misunderstood""."
17,Delhi Coronavirus Cases: Arvind Kejriwal Amid Hospital Row Says Lieutenant Governor Anil Baijal Orders To Be Followed,https://www.ndtv.com/india-news/coronavirus-arvind-kejriwal-says-lieutenant-governor-anil-baijals-orders-will-be-implemented-after-he-overrides-delhi-governments-covid-19-decisions-2243776,2020-06-02,corona,"['centre', '15', 'residents', 'beds', 'arvind', 'delhi', 'lakh', 'wins', 'centres', 'need', 'fight', 'orders', 'corona', 'reserve', 'cases', 'follow', 'kejriwal']","Arvind Kejriwal addressed the media, a day he tested negative for coronavirus.
From the doubling rate of infection, the Delhi government assesses that by June 15 there will be 44,000 cases, by June 30 there will be one lakh cases, 2.25 lakh cases by July 15 and 5.5 lakh by July 31.
By July 15 Delhi will need 33,000 beds, and if we include those seeking treatment from outside the city, we will need 65,000.
By July 31, we will need a total of 1.5 lakh beds,"" said Mr Kejriwal.
We will try everything, do whatever we can to ensure enough hospital beds in Delhi,"" the Chief Minister pledged."
18,Liquor To Get Cheaper In Delhi From Wednesday,https://www.ndtv.com/delhi-news/liquor-to-get-cheaper-in-delhi-from-wednesday-2243591,2020-05-31,corona,"['fee', 'cheaper', 'withdraw', 'cent', 'delhi', 'corona', 'decision', 'special', 'withdrew', 'liquor']","Liquor will be cheaper in Delhi from Wednesday.
(Representational)Liquor in Delhi will be cheaper from Wednesday when the AAP government's decision to withdrew 70 per cent ""Special Corona Fee"" on its sale come into effect.
The ""special corona fee"" on the Maximum Retail Price (MRP) of liquor bottles was imposed last month as the government, hit badly due to the coronavirus lockdown, looked to earn additional revenue.
The government has, however, increased the Value Added Tax (VAT) on all categories of liquor from 20 per cent to 25 per cent.
The decision to withdraw ""Special Corona Fee"" was taken at a Cabinet meeting chaired by Chief Minister Arvind Kejriwal."
19,Coronavirus: Yamaha Launches Special Service Camp To Support Frontline Staff - carandbike,https://www.carandbike.com/news/coronavirus-yamaha-launches-special-service-camp-to-support-frontline-staff-2243234,2020-05-30,corona,"['vehicle', 'yamaha', 'warriors', 'staff', 'sanitisation', 'launches', 'india', 'frontline', 'service', 'support', 'dealerships', 'special', 'read', 'coronavirus', 'camp', 'operations']","Yamaha Motor India has announced the launch of a special service camp across the country to support the COVID-19 warriors like doctors, healthcare workers, police and more.
Called the ""Corona Warriors' Camp"" Yamaha will run the special service camp at select dealerships across India offering exclusive and attractive discounts and priority service to the frontline staff who have been serving the society during this coronavirus pandemic.
Yamaha's Corona Warriors' Camp will be organised from June 8 to June 22, for a period of 15 days, across selected dealerships in India.
The company says that service activities will happen based on appointments, in order to adhere to the Social distancing guidelines.
Yamaha has also prepared a detailed action plan and guidelines for restarting operations in factories and area offices across the country."
20,Manish Sisodia: No Community Spread Of Virus According To Centre's Officials,https://www.ndtv.com/india-news/coronavirus-no-community-transmission-in-delhi-officials-from-centre-said-at-meeting-says-deputy-chief-minister-manish-sisodia-2243149,2020-05-30,corona,"['centre', 'days', 'delhi', 'centres', 'community', 'spread', 'stage', 'cases', 'central', 'coronavirus', 'minister', 'officials']","On community spread in Delhi, central government officials said it has not happened yet: Manish SisodiaThere is no community spread of coronavirus in Delhi according to central officials, Deputy Chief Minister Manish Sisodia said even as his cabinet colleague said that half the cases in the capital cannot be traced to any source.
""On community spread in Delhi, central government officials said it has not happened yet,"" Manish Sisodia said after a meeting of the Delhi Disaster Management Authority.
""We say community spread when people don't know how they got the infection.
Community spread, or the third stage of a pandemic, is when it is difficult to trace the source of infection.
To questions on whether Delhi was on this stage, the Health Minister said only the central government could declare community spread."
21,"""Mamata Didi, 'Corona Express' Remark Will Be Your Exit Route"": Amit Shah",https://www.ndtv.com/india-news/amit-shah-attacks-mamata-banerjee-over-corona-express-remark-on-trains-for-migrants-it-will-become-your-exit-route-2243141,2020-05-29,corona,"['express', 'crisis', 'remark', 'bjp', 'shah', 'route', 'mamata', 'didi', 'exit', 'amit', 'trains', 'banerjee', 'corona', 'mr', 'bengal', 'minister']","The name ""Corona Express"" given by Mamata Banerjee to migrant trains will become her ""exit route"" from Bengal, Home Minister Amit Shah said today, attacking the Chief Minister in a virtual rally.
""The name 'Corona Express' that you have given, Mamata didi, will become your exit route.
You've added salt to the wounds of the migrant workers and they will not forget this,"" Amit Shah said, addressing BJP workers online.
Mr Shah was referring to Mamata Banerjee's criticism of the central government for running migrant special trains amid a surge in coronavirus cases.
Earlier in May, Mr Shah wrote to Mamata Banerjee accusing her of not helping migrants return to Bengal."
22,Corona Warriors Left Out Of Post-Graduation Exams Conducted By AIIMS,https://www.ndtv.com/india-news/corona-warriors-left-out-of-post-graduation-exams-conducted-by-aiims-2242900,2020-05-28,corona,"['left', 'doctors', 'exam', 'contact', 'warriors', 'postgraduation', 'conducted', 'away', 'aiims', 'rules', 'exams', 'corona', 'sign', 'declaration', 'coronavirus', 'held']","The rules for the entrance exams not only allow only asymptomatic candidates, they also bar anyone who was in contact with coronavirus patients.
The exams for post-graduate nursing, MD, MS and specialty DM and MCH courses are held every year by AIIMS.
Many junior doctors, house staff and interns sit for these exams across 150 centers spread across the country.
But this year, there are some special rules for the exams scheduled to be held on June 11.
Dr Adarsh Pratap Singh, the president of the AIIMS Resident Doctors' Association, claimed all doctors can sit for the exam."
23,"Coronavirus: 94-Year-Old Man Recovers From COVID-19, Gautam Buddh Nagar District Magistrate Says ""You Motivate Us""",https://www.ndtv.com/noida-news/coronavirus-94-year-old-man-recovers-from-covid-19-2242815,2020-05-24,corona,"['work', 'official', 'district', 'patients', 'hospital', 'motivate', 'covid19', 'man', 'nagar', 'gautam', 'sharda', 'coronavirus', 'recovers', '94yearold', 'discharged']","The 94-year-old manwas discharged from the Sharda Hospital on Sunday.
A 94-year-old man was among the nearly 60 patients who recovered from the coronavirus infection in Uttar Pradesh's Gautam Buddha Nagar on Sunday, officials said today.
""Sir, you motivate us to work even harder,"" District Magistrate Gautam Budha Nagar Suhas Lalinakere Yathiraj tweeted, as he wished him a ""very long and healthy life"".
The nonagenarian was admitted to the private Sharda Hospital, a dedicated COVID-19 facility, and discharged on Sunday, news agency PTI reported.
""10 patients were discharged from the Sharda Hospital on Sunday, including the 94-year-old man, after successful treatment of coronavirus,"" District Information Officer Rakesh Chauhan was quoted as saying by PTI."
24,"Noida News, Headlines, Updates, Live Coverage - NDTV",https://www.ndtv.com/noida-news,2020-05-23,corona,"['coverage', 'shuttle', 'official', 'probe', 'return', 'result', 'test', 'sample', 'noida', 'ordered', 'man', 'later', 'updates', 'headlines', 'live']","A probe has been ordered into the death of a 68-year-old man, who had to shuttle between three hospitals to give his sample for a COVID-19 test and return home where he died a few hours later before the result came, an official said on Thursday."
25,"Coronavirus: Delhi Government Lifts Special Corona Fee On Liquor From June 10, But Raises VAT",https://www.ndtv.com/delhi-news/coronavirus-delhi-government-lifts-special-corona-fee-on-liquor-from-june-10-but-raises-vat-2242130,2020-05-22,corona,"['fee', 'sale', 'withdraw', 'official', 'imposed', 'vat', 'cent', 'delhi', 'corona', 'special', 'liquor', 'lifts', 'raises']","The ''Special Corona Fee'' was imposed last month on the Maximum Retail Price of liquor bottle.
The ""special corona fee"" on the Maximum Retail Price (MRP) of liquor bottles was imposed last month as the government, hit badly due to the coronavirus lockdown, looked to earn additional revenue.
According to the official, the government earned only Rs 235 crore from liquor, excluding the ""special corona fee"", last month.
On May 5, the AAP government imposed the ""special corona fee"" on liquor.
Sources in the excise department said due to the higher ""special corona fee"", people were buying liquor from nearby cities, where it is cheaper."
26,"Coronavirus India - Delhi Corona App Has Many People Making Enquiries, Less Actual Users: Delhi Health Minister Satyendar Jain",https://www.ndtv.com/delhi-news/coronavirus-india-delhi-corona-app-has-many-people-making-enquiries-less-actual-users-delhi-health-minister-satyendar-jain-2240797,2020-05-21,corona,"['users', 'jain', 'beds', 'app', 'delhi', 'shopping', 'patients', 'hospital', 'mr', 'ordered', 'private', 'labs', 'blames', 'minister', 'hospitals', 'window']","Delhi government's recent launch of ""Corona App"" -- meant to help users find out about the status of total hospital beds and ventilators -- had a fallout the government was not expecting.
The users, health minister Satyendra Jain said, were ""window shopping"" for hospitals and asymptomatic patients were occupying the much-needed beds for patients with a more serious condition.
Today, Mr Jain said the government was ""getting numerous calls with demand for beds"".
So far, five government hospitals and three private hospitals have been turned into dedicated coronavirus centres.
Yesterday, three more private hospitals were ordered to be converted into dedicated facilities, Mr Sisodia said."
27,"Delhi Government Launches ‘Delhi Corona’ App for Information on Vacant Hospital Beds, Ventilators | Technology News",https://gadgets.ndtv.com/apps/news/delhi-corona-app-covid-19-hospital-beds-status-ventilators-android-download-2239321,2020-05-19,corona,"['information', 'tv', 'ventilators', 'beds', 'app', 'delhi', 'launches', 'hospital', 'corona', 'total', 'vacant', 'download']","The Delhi government today launched a dedicated mobile app to help people find the status of total hospital beds and ventilators in the union territory.
Chief Minister Arvind Kejriwal announced the launch of the Delhi Corona app through a livestream.
The Delhi Corona app lists all the government and private hospitals that treat COVID-19 patients.
It is important to mention that the Delhi Corona app doesn't require any registration to access the information.
Furthermore, you can view containment zones and even access the Delhi government's coronavirus helpline on WhatsApp directly through the Delhi Corona app."
28,Delhi Corona App: Arvind Kejriwal Launches Delhi Corona App For Info On Hospital Beds,https://www.ndtv.com/india-news/arvind-kejriwal-launches-delhi-corona-app-for-information-on-availability-of-hospital-beds-in-delhi-2239276,2020-05-19,corona,"['number', 'info', 'beds', 'arvind', 'delhi', 'app', 'launches', 'today', 'hospital', 'corona', 'covid19', 'cases', 'minister', 'hospitals', 'kejriwal']","Delhi Corona App: Arvind Kejriwal launched the app during a video conference.
A mobile application has been launched to help COVID-19 patients in Delhi track hospital beds and ventilators, Chief Minister Arvind Kejriwal said this afternoon.
The app - ""Delhi Corona"" - comes amid a worrying spike in coronavirus cases in the national capital, which has logged over 20,000 cases since the beginning of the pandemic.
We are launching an app today which will give everyone the status of hospital beds and ventilator availability in Delhi,"" the Chief Minister said during a video conference.
Warning the hospitals yet again against denying beds to the COVID-19 patients, Mr Kejriwal today announced a helpline number - 1031- which can also be used to get status of the COVID-19 beds in Delhi."
29,Coronavirus COVID-19 Crisis Stock Market Honeymoon With PM Narendra Modi’s Government Under Strain,https://www.ndtv.com/business/coronavirus-covid-19-crisis-stock-market-honeymoon-with-pm-narendra-modi-s-government-under-strain-2239131,2020-05-18,corona,"['modis', 'economy', 'remain', 'stock', 'investors', 'term', 'honeymoon', 'economic', 'values', 'strain', 'markets', 'little', 'growth']","Investors remain concerned about the state of the economy and PM Narendra Modi's prioritiesHighlights Moody's has cut India's credit rating to lowest investment gradeEconomic growth hit 11-year low even before full onset of coronavirusCompanies have failed to meet earnings expectations since October 2014The stock market's honeymoon with Prime Minister Narendra Modi's government is under strain.
Economic growth slumped to an 11-year low even before the full onset of coronavirus, and Bloomberg Economics projects a 25 per cent contraction in the three months through June.
Stock values have shrunk by a quarter, or $543 billion, as India takes a bigger knock than some other countries badly affected by the pandemic, including the US, China and France.
Investors remain concerned about the state of the economy and PM Modi's priorities.
As a result, stock values peaked in early 2018."
30,"Business News, Market Updates, Economy, Finance, Stock, BSE, NSE, Nifty â NDTV Profit",https://www.ndtv.com/business,2020-05-16,corona,"['economy', 'finance', '765', '795', 'stock', 'nifty', 'rates', 'profit', 'ndtv', 'range', 'nse', 'business', 'market', 'updates']",The new rates will now range between 7.65% and 7.95%.
31,"PM Narendra Modi says ""Coronavirus may be invisible but our Corona Warriors are invincible""",https://www.ndtv.com/india-news/pm-narendra-modi-says-coronavirus-may-be-invisible-but-our-corona-warriors-are-invincible-2238536,2020-05-13,corona,"['modi', 'warriors', 'violence', 'invisible', 'india', 'virus', 'corona', 'invincible', 'covid19', 'community', 'video', 'enemy', 'workers', 'medical', 'world']","""The virus may be an invisible enemy.
But our warriors, medical workers are invincible.
In the battle of invisible vs invincible, our medical workers are sure to win,"" PM Modi said during a video conference.
""At the root of India's brave fight against COVID-19 is the hardwork of the medical community and our corona warriors.
In fact, doctors and medical workers are like soldiers, but without the soldiers' uniforms,"" he added."
32,Mumbai's Reliance Jio Convention Centre To Be Converted As Coronavirus Care Centre,https://www.ndtv.com/mumbai-news/mumbais-reliance-jio-convention-centre-to-be-converted-as-coronavirus-care-centre-2238295,2020-05-11,corona,"['centre', 'converted', 'mumbai', 'jio', 'aslam', 'covid19', 'reliance', 'convention', 'care', 'center', 'coronavirus', 'shaikh', 'guardian']","The Reliance Jio Convention Centre at Bandra-Kurla Complex will be converted into a Corona Care Centre.
Mumbai City Guardian Minister Aslam Shaikh and Mumbai Suburban Guardian Minister Aditya Thackrey gave this information on Saturday.
Aslam Shaikh and Aditya Thackrey visited Jio Convention Centre on Sunday.
Speaking to the media during the visit, they informed that the idea of Reliance Jio Convention Center for COVID-19 Hospital was underway.
Soon this Reliance Jio Convention Center will be converted into a Corona Care Centre equipped with all facilities."
33,"Mumbai News, Headlines, Updates, Live Coverage - NDTV",https://www.ndtv.com/mumbai-news,2020-05-10,corona,"['operate', 'coverage', 'remain', 'opening', 'moving', 'mumbai', 'revised', 'shops', 'unlocking', 'till', 'sundays', 'updates', 'headlines', 'live']","Mumbai, the financial capital of the India and the country's biggest coronavirus hotspot, is moving towards unlocking itself.
As per the revised guidelines issued by the city's civic body, shops in the city can operate till 9 pm.
The opening of the shops on alternate days will continue and they will now remain closed on Sundays."
